Obec,Počet cizinců: 2011,Počet cizinců: 2012,Počet cizinců: 2013,Počet cizinců: 2014
karviná,1068,1150,908,936
tábor,871,806,617,649
svitavy,784,749,569,592
písek,791,659,506,539
louny,854,809,703,726
klatovy,888,815,645,676
jihlava,975,896,628,652
hradec králové,1604,1497,1164,1203
praha-východ,2010,1839,1204,1244
rychnov nad kněžnou,661,646,530,557
vsetín,906,819,636,631
vyškov,806,731,601,612
kroměříž,736,717,537,585
hodonín,885,801,618,655
pelhřimov,623,587,551,548
teplice,1633,1495,1208,1260
kutná hora,761,707,544,606
nymburk,1331,1295,1165,1215
mělník,1331,1293,1034,1052
chomutov,1152,1088,858,907
praha-západ,2279,2100,1416,1538
český krumlov,1010,988,728,790
příbram,1065,1024,820,860
prachatice,673,634,564,582
benešov,968,856,649,652
děčín,1172,1186,917,952
praha,5319,5019,4284,4410
bruntál,613,601,547,548
třebíč,714,699,568,567
plzeň-sever,719,633,510,561
plzeň-jih,657,668,506,532
jablonec nad nisou,1121,1086,844,860
náchod,910,940,767,844
strakonice,719,740,509,582
opava,903,844,688,734
blansko,929,833,681,695
sokolov,852,862,658,708
ústí nad labem,1372,1402,1071,1104
olomouc,1680,1553,1242,1287
přerov,972,870,720,751
most,1110,999,742,780
jičín,747,668,536,549
litoměřice,1121,1144,898,959
české budějovice,1615,1461,1113,1154
jindřichův hradec,801,751,610,627
břeclav,939,844,763,782
prostějov,761,713,626,628
uherské hradiště,942,922,711,746
havlíčkův brod,784,718,566,598
domažlice,729,670,492,499
ostrava-město,2017,1877,1432,1512
kolín,1069,979,808,824
semily,687,634,563,588
beroun,1167,1057,830,880
karlovy vary,1641,1560,1195,1228
brno-venkov,1484,1407,954,1008
cheb,1268,1176,1023,1048
znojmo,939,849,692,703
brno-město,3163,2888,2167,2228
pardubice,1451,1357,1006,1085
chrudim,740,703,573,620
plzeň-město,1854,1676,1302,1372
jeseník,562,542,475,481
nový jičín,916,866,727,756
ústí nad orlicí,892,811,639,653
zlín,1247,1188,971,1001
tachov,711,665,505,511
trutnov,1001,926,757,790
rokycany,707,684,514,514
kladno,1627,1468,1261,1268
šumperk,822,751,710,733
liberec,1602,1510,1161,1222
frýdek-místek,1074,1004,835,848
mladá boleslav,1252,1056,759,854
česká lípa,1117,1097,881,921
žďár nad sázavou,678,619,513,527
rakovník,727,687,522,512
